,id,full_name,first_name,last_name,is_active
3772,280,Felton Spencer,Felton,Spencer,False
3773,78230,Lou Spicer,Lou,Spicer,False
3774,78231,Craig Spitzer,Craig,Spitzer,False
3775,201168,Tiago Splitter,Tiago,Splitter,False
3776,78232,Art Spoelstra,Art,Spoelstra,False
3777,84,Latrell Sprewell,Latrell,Sprewell,False
3778,78233,Larry Spriggs,Larry,Spriggs,False
3779,78234,Jim Springer,Jim,Springer,False
3780,78235,Jim Spruill,Jim,Spruill,False
3781,1756,Ryan Stack,Ryan,Stack,False
3782,711,Jerry Stackhouse,Jerry,Stackhouse,False
3783,78237,Kevin Stacom,Kevin,Stacom,False
3784,78238,Dave Stallworth,Dave,Stallworth,False
3785,78239,Isaac Stallworth,Isaac,Stallworth,False
3786,78240,Ed Stanczak,Ed,Stanczak,False
3787,78241,Terence Stansbury,Terence,Stansbury,False
3788,317,John Starks,John,Starks,False
3789,78243,Keith Starr,Keith,Starr,False
3790,203917,Nik Stauskas,Nik,Stauskas,False
3791,78244,Larry Staverman,Larry,Staverman,False
3792,78245,Larry Steele,Larry,Steele,False
3793,1099,Matt Steigenga,Matt,Steigenga,False
3794,1735,Vladimir Stepania,Vladimir,Stepania,False
3795,203474,DJ Stephens,DJ,Stephens,False
3796,78247,Everette Stephens,Everette,Stephens,False
3797,78249,Jack Stephens,Jack,Stephens,False
3798,1086,Joe Stephens,Joe,Stephens,False
3799,202362,Lance Stephenson,Lance,Stephenson,False
3800,1627293,Alex Stepheson,Alex,Stepheson,False
3801,78250,Brook Steppe,Brook,Steppe,False
3802,78251,Barry Stevens,Barry,Stevens,False
3803,78252,Wayne Stevens,Wayne,Stevens,False
3804,2052,DeShawn Stevenson,DeShawn,Stevenson,False
3805,78253,Dennis Stewart,Dennis,Stewart,False
3806,1529,Kebu Stewart,Kebu,Stewart,False
3807,1125,Larry Stewart,Larry,Stewart,False
3808,1565,Michael Stewart,Michael,Stewart,False
3809,78256,Norm Stewart,Norm,Stewart,False
3810,201880,Greg Stiemsma,Greg,Stiemsma,False
3811,78257,Steve Stipanovich,Steve,Stipanovich,False
3812,179,Bryant Stith,Bryant,Stith,False
3813,78259,Sam Stith,Sam,Stith,False
3814,78260,Tom Stith,Tom,Stith,False
3815,78261,Alex Stivrins,Alex,Stivrins,False
3816,204065,David Stockton,David,Stockton,False
3817,304,John Stockton,John,Stockton,False
3818,978,Peja Stojakovic,Peja,Stojakovic,False
3819,1055,Ed Stokes,Ed,Stokes,False
3820,78264,Greg Stokes,Greg,Stokes,False
3821,203950,Jarnell Stokes,Jarnell,Stokes,False
3822,600016,Maurice Stokes,Maurice,Stokes,False
3823,78266,Art Stolkey,Art,Stolkey,False
3824,1627754,Diamond Stone,Diamond,Stone,False
3825,202933,Julyan Stone,Julyan,Stone,False
3826,2852,Awvee Storey,Awvee,Storey,False
